 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,368";;0;;0;; ; 
"=""00:30"""; ;0;"1,333";;0;;0;; ; 
"=""00:45"""; ;0;"1,759";;0;;0;; ; 
"=""01:00"""; ;0;"1,435";;0;;0;; ; 
"=""01:15"""; ;0;"1,306";;0;;0;; ; 
"=""01:30"""; ;0;"1,557";;0;;0;; ; 
"=""01:45"""; ;0;"1,536";;0;;0;; ; 
"=""02:00"""; ;0;"3,107";;0;;0;; ; 
"=""02:15"""; ;0;"2,622";;0;;0;; ; 
"=""02:30"""; ;0;"1,484";;0;;0;; ; 
"=""02:45"""; ;0;"1,649";;0;;0;; ; 
"=""03:00"""; ;0;"1,182";;0;;0;; ; 
"=""03:15"""; ;0;"1,225";;0;;0;; ; 
"=""03:30"""; ;0;"1,439";;0;;0;; ; 
"=""03:45"""; ;0;"1,285";;0;;0;; ; 
"=""04:00"""; ;0;"1,101";;0;;0;; ; 
"=""04:15"""; ;0;"1,133";;0;;0;; ; 
"=""04:30"""; ;0;"1,270";;0;;0;; ; 
"=""04:45"""; ;0;"1,093";;0;;0;; ; 
"=""05:00"""; ;0;"1,835";;0;;0;; ; 
"=""05:15"""; ;0;"1,560";;0;;0;; ; 
"=""05:30""";0;0;"3,885";"3,885";0;0;0;; ; 
"=""05:45""";0;0;"2,289";"2,289";0;0;0;; ; 
"=""06:00""";0;0;"1,323";"1,323";0;0;0;; ; 
"=""06:15""";0;0;"1,781";"1,781";0;0;0;; ; 
"=""06:30""";0;0;"2,583";"2,583";0;0;0;0; ; 
"=""06:45""";18;0;"1,190";"1,208";0;18;0;18; ; 
"=""07:00""";75;0;"1,293";"1,368";0;75;0;75; ; 
"=""07:15""";138;0;"1,641";"1,779";0;138;0;138; ; 
"=""07:30""";270;0;"1,096";"1,366";0;270;0;270; ; 
"=""07:45""";333;0;"1,013";"1,346";0;333;0;333; ; 
"=""08:00""";431;0;573;"1,004";0;431;0;431; ; 
"=""08:15""";537;0;427;964;0;537;0;537; ; 
"=""08:30""";760;0;248;"1,008";0;760;0;760; ; 
"=""08:45""";881;0;107;988;5;881;0;885; ; 
"=""09:00""";"1,026";0;93;"1,118";32;"1,026";110;"1,167"; ; 
"=""09:15""";971;0;22;993;18;971;245;"1,234"; ; 
"=""09:30""";969;0;333;"1,302";23;969;265;"1,256"; ; 
"=""09:45""";"1,131";0;"1,468";"2,599";27;"1,131";60;"1,218"; ; 
"=""10:00""";921;0;79;"1,000";6;921;59;986; ; 
"=""10:15""";987;0;68;"1,055";37;987;57;"1,081"; ; 
"=""10:24"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,196";0;245;"1,441";94;"1,196";348;"1,638"; ; 
"=""10:45""";"1,000";0;26;"1,025";30;"1,000";445;"1,474"; ; 
"=""11:00""";"1,053";0;74;"1,127";69;"1,053";499;"1,622"; ; 
"=""11:15""";867;184;58;"1,109";55;867;0;922; ; 
"=""11:30""";888;0;20;908;25;888;122;"1,035"; ; 
"=""11:45""";853;0;29;881;29;853;945;"1,826"; ; 
"=""12:00""";"1,120";0;31;"1,151";30;"1,120";583;"1,733"; ; 
"=""12:09"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""12:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,045";0;36;"1,081";37;"1,045";649;"1,731"; ; 
"=""12:30""";"1,006";0;19;"1,025";17;"1,006";"1,045";"2,068"; ; 
"=""12:45""";969;0;44;"1,013";45;969;440;"1,454"; ; 
"=""13:00""";924;0;15;939;15;924;710;"1,648"; ; 
"=""13:15""";"1,524";174;64;"1,762";53;"1,524";0;"1,577"; ; 
"=""13:30""";939;"2,063";103;"3,104";94;939;0;"1,033"; ; 
"=""13:45""";"1,246";983;472;"2,701";52;"1,246";0;"1,298"; ; 
"=""14:00""";914;842;619;"2,375";29;914;0;943; ; 
"=""14:15""";"1,110";182;878;"2,169";2;"1,110";0;"1,112"; ; 
"=""14:30""";983;0;"1,318";"2,300";8;983;6;997; ; 
"=""14:45""";585;1;"1,338";"1,924";0;585;0;585; ; 
"=""15:00""";"1,003";0;954;"1,957";3;"1,003";24;"1,031"; ; 
"=""15:15""";"1,194";0;916;"2,110";12;"1,194";53;"1,258"; ; 
"=""15:30""";"1,035";0;"1,502";"2,537";0;"1,035";1;"1,036"; ; 
"=""15:45""";643;2;"1,873";"2,518";0;643;0;643; ; 
"=""16:00""";91;0;"1,489";"1,581";0;91;0;91; ; 
"=""16:15""";126;1;"1,232";"1,359";0;126;0;126; ; 
"=""16:30""";113;0;"1,163";"1,275";0;113;1;113; ; 
"=""16:45""";76;0;"1,009";"1,085";0;76;0;76; ; 
"=""17:00""";46;0;"1,689";"1,734";0;46;2;48; ; 
"=""17:15""";23;0;"2,594";"2,617";0;23;0;23; ; 
"=""17:30""";17;1;"1,752";"1,770";0;17;0;17; ; 
"=""17:45""";1;0;"1,648";"1,649";0;1;0;1; ; 
"=""18:00""";0;0;"1,531";"1,531";0;0;0;0; ; 
"=""18:15""";0;0;"2,294";"2,292";0;0;2;0; ; 
"=""18:30""";0;0;"2,564";"2,563";0;0;2;; ; 
"=""18:45""";0;0;"3,060";"3,198";0;0;4;; ; 
"=""19:00""";0;0;"3,285";"3,284";0;0;1;; ; 
"=""19:15""";0;0;"2,487";"3,073";0;0;1;; ; 
"=""19:30"""; ;0;"2,487";;0;;0;; ; 
"=""19:45"""; ;0;"2,474";;0;;1;; ; 
"=""20:00"""; ;0;"1,821";;0;;0;; ; 
"=""20:15"""; ;1;"2,484";;0;;0;; ; 
"=""20:30"""; ;1;"3,525";;0;;0;; ; 
"=""20:45"""; ;1;"2,785";;0;;0;; ; 
"=""21:00"""; ;0;"2,258";;0;;1;; ; 
"=""21:15"""; ;0;"2,049";;0;;0;; ; 
"=""21:30"""; ;0;"2,150";;0;;0;; ; 
"=""21:45"""; ;0;"1,922";;0;;0;; ; 
"=""22:00"""; ;0;"2,263";;0;;1;; ; 
"=""22:15"""; ;0;"1,606";;0;;2;; ; 
"=""22:30"""; ;0;"1,676";;0;;1;; ; 
"=""22:45"""; ;1;"2,210";;0;;0;; ; 
"=""23:00"""; ;0;"1,750";;0;;1;; ; 
"=""23:15"""; ;0;"1,443";;0;;0;; ; 
"=""23:30"""; ;0;"2,000";;0;;1;; ; 
"=""23:45"""; ;0;"1,836";;0;;0;; ; 
"=""00:00"""; ;0;"1,545";;0;;2;;300;"3,000"
