 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;"3,000"
"=""00:15"""; ;0;"3,504";;0;;0;; 
"=""00:30"""; ;0;"3,028";;0;;0;; 
"=""00:45"""; ;0;"2,598";;0;;0;; 
"=""01:00"""; ;0;"2,121";;0;;0;; 
"=""01:15"""; ;0;"1,369";;0;;0;; 
"=""01:30"""; ;0;"2,242";;0;;0;; 
"=""01:45"""; ;0;"1,653";;0;;0;; 
"=""02:00"""; ;0;"1,678";;0;;0;; 
"=""02:15"""; ;0;"1,732";;0;;0;; 
"=""02:30"""; ;0;"1,064";;0;;0;; 
"=""02:45"""; ;0;"1,344";;0;;0;; 
"=""03:00"""; ;0;"1,610";;0;;0;; 
"=""03:15"""; ;0;"1,480";;0;;0;; 
"=""03:30"""; ;0;"1,042";;0;;0;; 
"=""03:45"""; ;0;"1,119";;0;;0;; 
"=""04:00"""; ;0;"1,520";;0;;0;; 
"=""04:15"""; ;0;954;;0;;0;; 
"=""04:30"""; ;0;"1,221";;0;;0;; 
"=""04:45"""; ;0;"1,100";;0;;0;; 
"=""05:00"""; ;0;"1,737";;0;;0;; 
"=""05:15"""; ;0;"2,936";;0;;0;; 
"=""05:30""";0;0;"2,938";"2,938";0;0;0;; 
"=""05:45""";0;0;"3,098";"3,098";0;0;0;; 
"=""06:00""";0;0;"1,014";"1,014";0;0;0;; 
"=""06:15""";0;0;"1,217";"1,217";0;0;0;; 
"=""06:30""";27;0;"2,581";"2,608";0;27;0;27; 
"=""06:45""";116;0;"1,139";"1,255";0;116;0;116; 
"=""07:00""";236;0;931;"1,167";0;236;0;236; 
"=""07:15""";454;0;678;"1,132";0;454;0;454; 
"=""07:30""";641;0;504;"1,145";13;641;35;689; 
"=""07:45""";701;0;554;"1,255";9;701;33;742; 
"=""08:00""";715;0;389;"1,104";16;715;46;777; 
"=""08:15""";"1,006";0;453;"1,459";51;"1,006";142;"1,199"; 
"=""08:19"""; ; ; ; ; ; ; ; ;"2,970"
"=""08:24"""; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";648;0;304;952;26;648;355;"1,028"; 
"=""08:39"""; ; ; ; ; ; ; ; ;"2,820"
"=""08:44"""; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";"1,079";0;69;"1,148";57;"1,079";685;"1,821"; 
"=""09:00""";"1,120";0;53;"1,172";62;"1,120";470;"1,651"; 
"=""09:09"""; ; ; ; ; ; ; ; ;"2,880"
"=""09:14"""; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,396";0;94;"1,490";88;"1,396";269;"1,753"; 
"=""09:30""";965;0;64;"1,029";67;965;"1,204";"2,235"; 
"=""09:45""";831;0;110;941;107;831;"1,242";"2,181"; 
"=""10:00""";941;0;95;"1,035";90;941;820;"1,850"; 
"=""10:15""";"1,179";0;34;"1,213";53;"1,179";172;"1,403"; 
"=""10:30""";838;0;35;873;31;838;321;"1,190"; 
"=""10:45""";741;0;19;761;21;741;937;"1,700"; 
"=""11:00""";881;0;25;905;24;881;827;"1,731"; 
"=""11:14"""; ; ; ; ; ; ; ; ;"2,820"
"=""11:15""";860;0;16;876;15;860;342;"1,217"; 
