,apparentTemperature,cloudCover,dewPoint,humidity,temperature,uvIndex,visibility,windSpeed
06:30,103.38,0.48,71.8,0.47,94.96,9,10.0,11.58
06:45,103.38,0.48,71.8,0.47,94.96,9,10.0,11.58
07:00,104.37,0.54,71.0,0.44,96.4,7,10.0,12.13
07:15,104.37,0.54,71.0,0.44,96.4,7,10.0,12.13
07:30,104.37,0.54,71.0,0.44,96.4,7,10.0,12.13
07:45,104.37,0.54,71.0,0.44,96.4,7,10.0,12.13
08:00,103.83,0.61,70.28,0.43,96.54,5,10.0,12.48
08:15,103.83,0.61,70.28,0.43,96.54,5,10.0,12.48
08:30,103.83,0.61,70.28,0.43,96.54,5,10.0,12.48
08:45,103.83,0.61,70.28,0.43,96.54,5,10.0,12.48
09:00,102.97,0.66,69.97,0.43,96.1,3,10.0,12.71
09:15,102.97,0.66,69.97,0.43,96.1,3,10.0,12.71
09:30,102.97,0.66,69.97,0.43,96.1,3,10.0,12.71
09:45,102.97,0.66,69.97,0.43,96.1,3,10.0,12.71
10:00,102.08,0.67,70.25,0.45,95.17,1,10.0,12.77
10:15,102.08,0.67,70.25,0.45,95.17,1,10.0,12.77
10:30,102.08,0.67,70.25,0.45,95.17,1,10.0,12.77
10:45,102.08,0.67,70.25,0.45,95.17,1,10.0,12.77
11:00,100.92,0.65,70.95,0.48,93.69,0,10.0,12.7
11:15,100.92,0.65,70.95,0.48,93.69,0,10.0,12.7
11:30,100.92,0.65,70.95,0.48,93.69,0,10.0,12.7
11:45,100.92,0.65,70.95,0.48,93.69,0,10.0,12.7
12:00,99.31,0.63,71.71,0.52,91.79,0,10.0,12.68
12:15,99.31,0.63,71.71,0.52,91.79,0,10.0,12.68
12:30,99.31,0.63,71.71,0.52,91.79,0,10.0,12.68
12:45,99.31,0.63,71.71,0.52,91.79,0,10.0,12.68
13:00,98.02,0.62,72.41,0.56,90.2,0,10.0,12.94
13:15,98.02,0.62,72.41,0.56,90.2,0,10.0,12.94
13:30,98.02,0.62,72.41,0.56,90.2,0,10.0,12.94
13:45,98.02,0.62,72.41,0.56,90.2,0,10.0,12.94
14:00,96.78,0.6,73.2,0.61,88.61,0,10.0,13.28
14:15,96.78,0.6,73.2,0.61,88.61,0,10.0,13.28
14:30,96.78,0.6,73.2,0.61,88.61,0,10.0,13.28
14:45,96.78,0.6,73.2,0.61,88.61,0,10.0,13.28
15:00,96.02,0.58,73.89,0.64,87.52,0,10.0,13.26
15:15,96.02,0.58,73.89,0.64,87.52,0,10.0,13.26
15:30,96.02,0.58,73.89,0.64,87.52,0,10.0,13.26
15:45,96.02,0.58,73.89,0.64,87.52,0,10.0,13.26
16:00,95.64,0.55,74.48,0.67,86.8,0,10.0,12.59
16:15,95.64,0.55,74.48,0.67,86.8,0,10.0,12.59
16:30,95.64,0.55,74.48,0.67,86.8,0,10.0,12.59
16:45,95.64,0.55,74.48,0.67,86.8,0,10.0,12.59
17:00,95.48,0.51,74.98,0.69,86.32,0,10.0,11.53
17:15,95.48,0.51,74.98,0.69,86.32,0,10.0,11.53
17:30,95.48,0.51,74.98,0.69,86.32,0,10.0,11.53
17:45,95.48,0.51,74.98,0.69,86.32,0,10.0,11.53
18:00,95.06,0.47,75.34,0.71,85.79,0,10.0,10.44
