 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,628";;0;;579;; ; 
"=""00:30"""; ;340;"2,511";;3;;0;; ; 
"=""00:39"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""00:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""00:45"""; ;"1,662";"1,249";;33;;0;; ; 
"=""01:00"""; ;375;"2,219";;16;;0;; ; 
"=""01:15"""; ;3;"2,729";;0;;0;; ; 
"=""01:30"""; ;0;"2,578";;0;;1;; ; 
"=""01:45"""; ;0;"2,805";;0;;1;; ; 
"=""02:00"""; ;0;"2,762";;0;;0;; ; 
"=""02:15"""; ;0;"2,347";;0;;1;; ; 
"=""02:30"""; ;0;"2,209";;0;;2;; ; 
"=""02:45"""; ;0;"2,567";;0;;1;; ; 
"=""03:00"""; ;0;"2,343";;0;;1;; ; 
"=""03:15"""; ;0;"2,619";;0;;1;; ; 
"=""03:30"""; ;0;"2,339";;0;;1;; ; 
"=""03:45"""; ;0;"2,380";;0;;1;; ; 
"=""04:00"""; ;0;"2,483";;0;;0;; ; 
"=""04:15"""; ;0;"2,145";;0;;0;; ; 
"=""04:30"""; ;0;"2,133";;0;;2;; ; 
"=""04:45"""; ;0;"2,476";;0;;0;; ; 
"=""05:00""";0;0;"3,392";"3,390";0;0;2;; ; 
"=""05:15""";0;1;"2,357";"2,357";0;0;0;; ; 
"=""05:30""";0;0;"1,947";"1,947";0;0;0;; ; 
"=""05:45""";0;0;"1,396";"1,395";0;0;2;; ; 
"=""06:00""";0;0;"1,432";"1,430";0;0;2;; ; 
"=""06:15""";0;0;"1,264";"1,263";0;0;1;0; ; 
"=""06:30""";51;0;"1,595";"1,646";0;51;0;51; ; 
"=""06:45""";149;2;842;993;0;149;0;149; ; 
"=""07:00""";340;1;445;786;0;340;0;340; ; 
"=""07:15""";509;10;153;672;12;509;0;521; ; 
"=""07:30""";705;42;47;793;44;705;0;748; ; 
"=""07:45""";658;70;58;786;24;658;0;682; ; 
"=""08:00""";670;26;28;724;22;670;0;692; ; 
"=""08:15""";913;0;62;975;65;913;101;"1,078"; ; 
"=""08:30""";869;0;72;941;73;869;0;942; ; 
"=""08:45""";582;419;539;"1,539";65;582;0;646; ; 
